A&E,A&E,265
ABC Family,ABC Family,311
AUDIENCE,AUDIENCE,239
AXSTV HD,AXSTV HD,340
Animal Planet,Animal Planet,282
BBC America,BBC America,264
BYU TV,BYU TV,374
BabyFirstTV*,BabyFirstTV*,293
Black Entertainment Television (BET),Black Entertainment Television (BET),329
Bloomberg Television,Bloomberg Television,353
Bravo,Bravo,237
Canal Once,Canal Once,447
CMT,CMT,327
CNBC,CNBC,355
CNN,CNN,202
CSPAN 1,CSPAN 1,350
CSPAN 2,CSPAN 2,351
Cartoon Network (East),Cartoon Network (East),296
Cartoon Network (West),Cartoon Network (West),297
Christian Television Network (CTN),Christian Television Network (CTN),376
Church Channel,Church Channel,371
Comedy Central,Comedy Central,249
Daystar,Daystar,369
Discovery Channel,Discovery Channel,278
Disney Channel (East),Disney Channel (East),290
Disney Channel (West),Disney Channel (West),291
Disney Junior Channel,Disney Junior Channel,289
Disney XD,Disney XD,292
E! Entertainment,E! Entertainment,236
EWTN,EWTN,370
FX,FX,248
Food Network,Food Network,231
Fox News Channel,Fox News Channel,360
Free Speech TV*,Free Speech TV*,348
GEM NET (Global Expansion Media Network)*,GEM NET (Global Expansion Media Network)*,2068
GOD TV,GOD TV,365
Golden Eagle Broadcasting*,Golden Eagle Broadcasting*,363
HITN*,HITN*,438
Hallmark Channel,Hallmark Channel,312
Hallmark Movie Channel HD,Hallmark Movie Channel HD,565
Headline News,Headline News,204
History Channel,History Channel,269
Home & Garden Television (HGTV),Home & Garden Television (HGTV),229
Home Shopping Network,Home Shopping Network,240
Hope*,Hope*,368
INSP,INSP,364
Investigation Discovery (ID),Investigation Discovery (ID),285
Jewelry Television,Jewelry Television,313
Jewish Life Television*,Jewish Life Television*,366
The Learning Channel,The Learning Channel,280
Lifetime,Lifetime,252
LinkTV,LinkTV,375
MSNBC,MSNBC,356
MTV,MTV,331
MTV2,MTV2,333
NASA TV,NASA TV,346
NRB,NRB,378
National Geographic Channel,National Geographic Channel,276
Nick Jr.,Nick Jr.,301
Nickelodeon (East),Nickelodeon (East),299
Nickelodeon (West),Nickelodeon (West),300
pivot,pivot,267
Pursuit Channel,Pursuit Channel,604
QVC,QVC,275
QVC Plus,QVC Plus,315
RFD TV,RFD TV,345
ReelzChannel,ReelzChannel,238
ShopHQ,ShopHQ,316
Spike,Spike,241
Syfy Channel,Syfy Channel,244
TBS,TBS,247
TCT Network,TCT Network,377
TNT,TNT,245
TV Land,TV Land,304
TeenNick,TeenNick,303
The Word Network,The Word Network,373
Trinity Broadcasting Network (TBN),Trinity Broadcasting Network (TBN),372
TruTV,TruTV,246
USA Network,USA Network,242
VH1,VH1,335
Velocity,Velocity,281
The Word Network,The Word Network,373
Weather Channel,Weather Channel,362
World Harvest Television,World Harvest Television,367
Cartoon Network (Este),Cartoon Network (Este),296
Disney XD,Disney XD,292
Enlace Christian Television*,Enlace Christian Television*,448
Galavision,Galavision,404
Univision (Este),Univision (Este),402
V-me*,V-me*,440