3net HD,3net HD,107
A&E,A&E,265
ABC Family HD,ABC Family HD,311
American Movie Classics (AMC) HD,American Movie Classics (AMC) HD,254
Animal Planet HD,Animal Planet HD,282
Audience Network HD,Audience Network HD,239
AXSTV HD,AXSTV HD,340
Azteca America,Azteca America,441
Azteca Mexico,Azteca Mexico,442
BabyFirstTV*,BabyFirstTV*,293
beIN SPORT en Español HD,beIN SPORT en Español HD,426
Boomerang,Boomerang,298
Bravo HD,Bravo HD,237
BYU TV,BYU TV,374
Caracol TV,Caracol TV,417
Cartoon Network (Este) HD,Cartoon Network (Este) HD,296
Cartoon Network (Oeste),Cartoon Network (Oeste),297
Centroamérica,Centroamérica,428
Christian Television Network (CTN),Christian Television Network (CTN),376
Church Channel,Church Channel,371
Cine Estelar,Cine Estelar,422
Cine Latino,Cine Latino,423
Cine Nostalgia,Cine Nostalgia,424
CNN en Español,CNN en Español,419
CNN HD,CNN HD,202
CSPAN 1,CSPAN 1,350
CSPAN 2,CSPAN 2,351
Daystar,Daystar,369
Discovery Channel HD,Discovery Channel HD,278
Discovery en Español,Discovery en Español,413
Discovery Familia,Discovery Familia,436
Disney Channel (East) HD,Disney Channel (East) HD,290
Disney Channel (West),Disney Channel (West),291
Disney XD HD,Disney XD HD,292
Disney XD HD,Disney XD HD,292
E! Entertainment HD,E! Entertainment HD,236
Ecuador TV,Ecuador TV,457
Ecuavisa Internacional,Ecuavisa Internacional,438
Enlace Christian Television*,Enlace Christian Television*,448
ESPN Deportes HD,ESPN Deportes HD,432
EWTN,EWTN,370
Food Network HD,Food Network HD,231
ForoTV,ForoTV,453
FOX Deportes,FOX Deportes,425
Fox Sports 1 HD,Fox Sports 1 HD,219
Free Speech TV*,Free Speech TV*,348
FX HD,FX HD,248
Galavision HD,Galavision HD,404
GEM NET (Global Expansion Media Network)*,GEM NET (Global Expansion Media Network)*,2068
GOD TV,GOD TV,365
Golden Eagle Broadcasting*,Golden Eagle Broadcasting*,363
GolTV,GolTV,456
Great American Country,Great American Country,326
Headline News HD,Headline News HD,204
History Channel HD,History Channel HD,269
HITN-TV*,HITN-TV*,449
Home Shopping Network,Home Shopping Network,240
Hope*,Hope*,368
INSP,INSP,364
Jewelry Television,Jewelry Television,313
Jewish Life Television*,Jewish Life Television*,366
Latinoamerica TV,Latinoamerica TV,430
Lifetime HD ,Lifetime HD ,252
LinkTV,LinkTV,375
MEGA TV HD,MEGA TV HD,405
MHz WORLDVIEW*,MHz WORLDVIEW*,2183
MSNBC HD,MSNBC HD,356
MTV HD,MTV HD,331
mun2,mun2,410
n3D HD,n3D HD,103
NASA TV,NASA TV,346
Nat Geo Mundo,Nat Geo Mundo,435
National Geographic Channel HD,National Geographic Channel HD,276
Nick Jr.,Nick Jr.,301
Nickelodeon (East) HD,Nickelodeon (East) HD,299
Nickelodeon (West),Nickelodeon (West),300
NRB,NRB,378
ONCE México*,ONCE México*,447
Pasiones,Pasiones,444
PBS,PBS,0
Perú Mágico,Perú Mágico,431
Pursuit Channel,Pursuit Channel,604
QVC HD,QVC HD,275
Regional Music TV,Regional Music TV,415
ShopNBC,ShopNBC,316
Spike HD,Spike HD,241
Sur Peru,Sur Peru,439
TBS HD,TBS HD,247
TCT Network,TCT Network,377
Telecentro,Telecentro,429
Teléfe Internacional,Teléfe Internacional,411
TeleFutura (Oeste) HD,TeleFutura (Oeste) HD,408
Telemundo (Este),Telemundo (Este),406
Telemundo (Oeste),Telemundo (Oeste),407
Television Dominicana,Television Dominicana,434
Television Española (TVE) Internacional,Television Española (TVE) Internacional,460
The Word Network,The Word Network,373
TNT HD,TNT HD,245
TR3S,TR3S,445
Trinity Broadcasting Network (TBN),Trinity Broadcasting Network (TBN),372
TV Chile,TV Chile,437
TV Colombia,TV Colombia,416
TV Venezuela,TV Venezuela,409
TyC Sports,TyC Sports,427
Univision (Este) HD,Univision (Este) HD,402
Univision (Oeste),Univision (Oeste),403
Univision Deportes HD,Univision Deportes HD,455
Univision tlnovelas,Univision tlnovelas,454
UP,UP,338
USA Network HD,USA Network HD,242
Utilisima,Utilisima,421
V-me*,V-me*,440
Velocity HD,Velocity HD,281
VH1 HD,VH1 HD,335
Videoexitos,Videoexitos,433
WAPA America,WAPA America,414
Weather Channel HD,Weather Channel HD,362
World Harvest Television,World Harvest Television,367