ALIVE,America Live,219
ANGEL,Angel One,262
ANGL2,Angel Two,266
APL,Animal Planet,184
BIO,Bio,119
BITV,Bloomberg Television,203
BOOM,Boomerang,175
BUY!,Buy!,221
CBSSN,CBS Sports Network,158
CCTVE,CCTV-E,884
CCNEW,CCTV-News,265
COOK,Cooking Channel,113
CSPN2,C-SPAN2,211
DYSTR,Daystar,263
DIY,DIY,111
DOC,Documentary Channel,197
FOOD,Food Network,110
FXNWS,Fox News Channel,205
GEMS,Gems and Jewelry,229
GAC,Great American Country (GAC),165
HLMRK,Hallmark Channel,185
HMC,Hallmark Movie Channel,187
HLN,HLN,202
HSN,HSN,84
HSN2,HSN2,226
ICTV,In Country Television,230
ID,Investigation Discovery,192
JTV,Jewelry Television,227
MALL,Mall,220
NICK,Nick/Nick at Nite (E),170
NICKW,Nick/Nick at Nite (W),171
NICKT,Nicktoons Network,178
OTDCH,Outdoor Channel,396
QVC,QVC,137
RFDTV,RFD-TV,231
SALE,Sale,225
SCI,Science,193
SHOP,shop,224
SHNBC,ShopNBC,228
HUB,The Hub,179
TVLND,TV Land,106
TWC,Weather Channel,214
BABY,BabyFirstTV,823
BLOCK,Blockbuster Studio Channel,102
BYUTV,BYUTV,9403
CTN,Christian Television Network,267
ARTS,Classic Arts Showcase,9406
CSPAN,C-SPAN,210
DN101,DISH 101,101
ENLC,Enlace,9411
EWTN,Eternal Word Television,261
PREVW,Free Preview Guide,103
FSTV,Free Speech TV,9415
GOLFR,GOLFR,399
IMPCT,Impact Network,268
KBS,KBS World ,9394
KTV,Kids & Teens Television (KTV) ,264
LINK,Link TV ,9410
NASA,NASA,286
ONPPV,Pay-Per-View Guide,500
PNTGN,Pentagon ,9405
TBN,TBN ,260
3ABN,Three Angels Broadcasting Network,9393
VME,V-ME,846